Exit This Earth's Atomosphere,['Camellia'],PLANET / / SHAPER,2015,5:32,https://lh3.googleusercontent.com/7W4z9ckaL0-2Pl5WiePrvS1BI91-3Gn61v3zspjHVX4AVlNB4Scjdn667FfWzP3KH6uDAswxzXTNCdjY=w544-h544-l90-rj,https://music.youtube.com/watch?v=hqvH9uinjVM,"['Camellia', 'かめりあ', 'カメリア', 'PLANET / / SHAPER', ""Exit This Earth's Atomosphere""]"
Future Cider,"[""YUC'e""]",EDP presents ravemania speed,None,4:04,https://lh3.googleusercontent.com/Bae22uHBnZ4CDSakA0g2QwLuaI0OaK5gECis1jAyeaCcT3QGaJ-11KUUphBPyQuVICN82IPfwOIqew2o=w544-h544-l90-rj,https://music.youtube.com/watch?v=tZH8sBDS_hE,"[""YUC'e"", 'ユーシエ', 'EDP presents ravemania speed', 'Future Cider']"
1HOPE SNIPER,['田所あずさ'],So What?,None,3:32,https://lh3.googleusercontent.com/fFjNmOyk1sAZC7U925k_oYdlH83OV4si6d3hC83IF81V-CtGK8BZQf8-_LdQCS30dHlJXxlxxlqbpKXV=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=K04zLud0ZnY,"['田所あずさ', 'So What?', '1HOPE SNIPER']"
Kataomoi,['Aimer'],daydream,2016,3:27,https://lh3.googleusercontent.com/NJD-silBhAi2s03Dxbh-VU4djoa4Zay7wm051hWYXtjs31cI0U8eW2nIT7EhprOpk627mhbzRrapLKx7KQ=w544-h544-l90-rj,https://music.youtube.com/watch?v=NFHPLE4Tl0I,"['Aimer', 'エメ', 'daydream', 'Kataomoi']"
Last Stardust,['Aimer'],DAWN,2015,5:19,https://lh3.googleusercontent.com/KgxPQ1MlUlgV9ETcka1Hh_cQH3orxCJpVNiOi_EI-IHGcBviZXCNsMCBx3x-sX1LK3uOv72WKcDY1vjQ9g=w544-h544-l90-rj,https://music.youtube.com/watch?v=ngm99aJh7ig,"['Aimer', 'エメ', 'DAWN', 'Last Stardust']"
Yona Yona Dance,['Akiko Wada'],Yona Yona Dance,2021,3:46,https://lh3.googleusercontent.com/ys7evTIkqJG8tr-AuGPWc-T-hhpfiOUPhUCEUyIKDs5ySMaTS0PwXZjfVCjWVisd5uWLQ3_KfJYhil6l=w544-h544-l90-rj,https://music.youtube.com/watch?v=vYoc8PtSRNk,"['Akiko Wada', 'ワダアキコ', '和田アキ子', 'Yona Yona Dance']"
KANPAI FUNK,['Akiko Wada'],KANPAI FUNK,2023,3:40,https://lh3.googleusercontent.com/jhrPfzryfJ29trIc7m899fM1sMTiJk5Qvqq8koRKg3yuRFe4-LXKB0UGgeVFIZCDWoLGzegKWZ2evq5h=w544-h544-l90-rj,https://music.youtube.com/watch?v=Hz4yHa6B3HU,"['Akiko Wada', 'ワダアキコ', '和田アキ子', 'KANPAI FUNK', 'カンパイファンク']"
Tsukiyura (feat. Narae),['초록물꼬기 (mitssi)'],Tsukiyura,None,2:56,https://lh3.googleusercontent.com/zzLoeCLVgPaejnsfv7x7z_81sNihUu25AcUCgWiRFTub1RurTrR2hr_OWjsGqRkG75jD1K1eIgUP9h9i=w544-h544-l90-rj,https://music.youtube.com/watch?v=0px68SAm9yo,"['초록물꼬기 (mitssi)', 'Tsukiyura', 'Tsukiyura (feat. Narae)']"
Zankyosanka,['Aimer'],Open a Door,2021,3:05,https://lh3.googleusercontent.com/WJsfqIlLhWYLspnYKvF2FXAxHb8j8bEwt7J9tM4Mi_gRikmiupb9T5XcXSwUr59FhxX7ZsYQ-PGFAw3T=w544-h544-l90-rj,https://music.youtube.com/watch?v=d6NPs3OQIAU,"['Aimer', 'エメ', 'Open a Door', 'Zankyosanka']"
Miku,"['Anamanaguchi', 'Hatsune Miku']",Miku,None,3:43,https://lh3.googleusercontent.com/uEOk2pCVOFnFGjzrsNavzKYoZEvz46KInWBpElYu1d_UHqH78cRqqCV3myVFmIl4SZytMGkGn1FLkgYz8w=w544-h544-l90-rj,https://music.youtube.com/watch?v=G2PDJTkFiA8,"['Anamanaguchi', 'Hatsune Miku', 'Miku']"
