Wake Me Up,['Avicii'],True,2013,4:07,https://lh3.googleusercontent.com/XincHWEjkXhpbavoQEHWRbTcVdvHsujjr7OAw-73KUCILFgjLdevPW8vkoaRMibnwkTtGWkEDyKbuNeK=w544-h544-l90-rj,https://music.youtube.com/watch?v=2NiyrtYegso,"['Avicii', 'アビーチー', 'アヴィーチー', 'True', 'Wake Me Up']"
Waiting For Love,['Avicii'],Stories,2015,3:51,https://lh3.googleusercontent.com/gNvQI_me1i5v3oXEaJCPYpjhYj5yQSObQNnKsBYTZhWqax62D6AslMc1z7Euvl2r6wnvuqWeLzFGUv5R=w544-h544-l90-rj,https://music.youtube.com/watch?v=iR1sAex__VA,"['Avicii', 'アビーチー', 'アヴィーチー', 'Stories', 'Waiting For Love']"
The Nights,['Avicii'],The Days / Nights,2014,2:57,https://lh3.googleusercontent.com/bPQAXtxg9kp3_2RPlgtnezp5opZgYFUGQNTnZLEd_131df6T3Nht7Jo3Tx44WwseRUYPe8OeApHM88S50A=w544-h544-l90-rj,https://music.youtube.com/watch?v=W4C-NEWrnSQ,"['Avicii', 'アビーチー', 'アヴィーチー', 'The Days / Nights', 'ザ・デイズ', '（ヘンリック・ビー', 'リミックス）', 'ザ・デイズ (ヘンリック・ビー リミックス)', 'The Nights', 'ザナイツ', 'ザ・ナイツ']"
Levels (Radio Edit),['Avicii'],Levels,2011,3:20,https://lh3.googleusercontent.com/bsPieoSMF402F_05hHOq7FITGDPllsNcBnjPE0WUi6T2a4A130z6qqjJLCEV10kE1pCSGBxKt0Bdgfkc=w544-h544-l90-rj,https://music.youtube.com/watch?v=xAgv1mAyxr8,"['Avicii', 'アビーチー', 'アヴィーチー', 'Levels', 'レベルズ', 'レヴェルズ']"
Addicted To You,['Avicii'],True,2013,2:28,https://lh3.googleusercontent.com/XincHWEjkXhpbavoQEHWRbTcVdvHsujjr7OAw-73KUCILFgjLdevPW8vkoaRMibnwkTtGWkEDyKbuNeK=w544-h544-l90-rj,https://music.youtube.com/watch?v=nYuVZPV4vTw,"['Avicii', 'アビーチー', 'アヴィーチー', 'True', 'Addicted To You']"
Polska (feat. Frequ & Ninka),"['Alan Aztec', 'Frequ', 'Ninka']",Polska (feat. Frequ & Ninka),None,2:41,https://lh3.googleusercontent.com/Jg49a8ZJvFLxVK2CRLqWDXDxLAqQcTYz3WzSU2O5815VUR-LwDAW9pdgxLnXaq46YT-Vfq5FOQLKdlw=w544-h544-l90-rj,https://music.youtube.com/watch?v=DGURcH8Ep54,"['Alan Aztec', 'Frequ', 'Ninka', 'Polska (feat. Frequ & Ninka)']"
Lone Digger,['Caravan Palace'],ᐸI°_°Iᐳ,None,3:50,https://lh3.googleusercontent.com/5CPDYb_cQBkMZg1TbEvC-CVKko7z6ZwfdxZdGb5kOQ3Iqfnc1s8AKEAZ0by8HFxkakKheB43w2QrRBli=w544-h544-l90-rj,https://music.youtube.com/watch?v=36A-ZjOpui8,"['Caravan Palace', 'I°_°I', 'Lone Digger']"
Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers),"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",Get Lucky,2013,4:08,https://lh3.googleusercontent.com/HqegqT4tr2u0IsOqAmUgILJunBwHHkjl9s5L7t02ZFcGsRQpqKtmM7YlkeqzDdXi926mNvAn2UJu48s=w544-h544-l90-rj,https://music.youtube.com/watch?v=Rgrt_8mXrK8,"['Daft Punk', 'Pharrell Williams', 'ファレルウィリアムス', 'P. Williams', 'Nile Rodgers', 'Get Lucky']"
"Harder, Better, Faster, Stronger",['Daft Punk'],Discovery,2001,3:45,https://lh3.googleusercontent.com/6Qy_3-Unlf67FwRfF75ghzWw__5wmbJjAg7x6p8qQqMdRxvvFCEmyFlEedmbunivDbF-yUEXbb3AVI0=w544-h544-l90-rj,https://music.youtube.com/watch?v=JhulBGMA7G4,"['Daft Punk Discovery Harder', 'Better', 'Faster', 'Stronger']"
Sandstorm (Radio Edit),"['Darude', 'Jaakko Salovaara', 'Ville Virtanen']",Sandstorm,1999,3:47,https://lh3.googleusercontent.com/HlWb77FFvgiZQMlPXcucuzsob-pNBi0mCUZKEX_6uUz0hackCup2KryXVOtCoorgQkOnAxOQQ77yUag=w544-h544-l90-rj,https://music.youtube.com/watch?v=XjvkxXblpz8,"['Darude', 'Jaakko Salovaara', 'Ville Virtanen', 'Sandstorm']"
U Got That,['Halogen'],U Got That,2019,3:08,https://lh3.googleusercontent.com/F2XEA50gG7OJdo-dyh838cfwkpwvvR2UKjIXgvGg9MRhVBpPAHLS77sJTiZOe77SkR6luVKUVXBa7qw=w544-h544-l90-rj,https://music.youtube.com/watch?v=VLzt3giUTbM,"['Halogen', 'U Got That']"
Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']",Sorry For Party Rocking,2011,4:22,https://lh3.googleusercontent.com/WYiyodFxahKF1-W9C3IbH3gZ6T6l98gjFYHaY5SRyQdE1v61BnQICcTs3xYvJviFUlgzRvEDt0jiXzE=w544-h544-l90-rj,https://music.youtube.com/watch?v=kmioyMNkgx4,"['LMFAO', 'エルエムエフエイオー', 'Lauren Bennett', 'ローレンベネット', 'ローレン・ベネット', 'GoonRock', 'グーンロック', 'Sorry For Party Rocking', 'Party Rock Anthem']"
