Uptown Funk,"['Mark Ronson', 'Bruno Mars']",I Love Paraisópolis - Vol. 2,2015,4:30,https://lh3.googleusercontent.com/hwAIuAKLrWXNkiMNG87xNvb9BM6GgVp9ZfYGFyXw62oboeLp01yP4Ah3I4soh8ZGwcdtLHjic9jlHGZG=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=rZmHYMQkLyA,"['Mark Ronson', 'Bruno Mars', 'I Love Paraisópolis - Vol. 2', 'Uptown Funk']"
Double Vision,['3OH!3'],Streets Of Gold,2010,3:11,https://lh3.googleusercontent.com/VjgYg4wRsFZjewEX9vuAGOTvWJllBJ29ggTcJnN5gJPc0LfeVmHXHU1uv4Kt3u0fDfmkk3e_vKYxMzk=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=AulAGgkd1no,"['3OH!3', 'Streets Of Gold', 'Double Vision']"
The Lazy Song,['Bruno Mars'],Doo-Wops & Hooligans,2010,3:09,https://lh3.googleusercontent.com/-MBagZMcp-AsKziX22bIEvPjNlxPPyU8hgXC07dXlt9GmlBTA1hZI9yyAuCP0mswnSBNRMOvoI1y9_Y=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=sLRtf41L12A,"['Bruno Mars', 'Doo-Wops & Hooligans', 'The Lazy Song']"
That's What I Like,['Bruno Mars'],24K Magic,2016,3:27,https://lh3.googleusercontent.com/L0TeCOIXRykdcItgMBf2qrO72RDFn59k3wLd3OFlXO3y4dfrSeR-jD1NCPKiJsRN7gaf4ot_dWSVjfwXZA=w544-h544-l90-rj,https://music.youtube.com/watch?v=JucvYrdSIcM,"['Bruno Mars', 'ブルーノマーズ', '24K Magic', ""That's What I Like""]"
Just the Way You Are,['Bruno Mars'],Doo-Wops & Hooligans,2010,3:41,https://lh3.googleusercontent.com/-MBagZMcp-AsKziX22bIEvPjNlxPPyU8hgXC07dXlt9GmlBTA1hZI9yyAuCP0mswnSBNRMOvoI1y9_Y=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=wGUKBXpfU1o,"['Bruno Mars', 'Doo-Wops & Hooligans', 'Just the Way You Are']"
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",An Evening With Silk Sonic,2021,4:02,https://lh3.googleusercontent.com/HVal6U-xElhq8fBSqlsB7A30zFeXxDbigq5ADD2g47zYkajUwlpe7XZpBP35VfexjQP4fgB5oeOs4Fj7=w544-h544-l90-rj,https://music.youtube.com/watch?v=IYFqc9gk4qI,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic', 'An Evening With Silk Sonic', 'Leave The Door Open']"
24K Magic,['Bruno Mars'],24K Magic,2016,3:46,https://lh3.googleusercontent.com/L0TeCOIXRykdcItgMBf2qrO72RDFn59k3wLd3OFlXO3y4dfrSeR-jD1NCPKiJsRN7gaf4ot_dWSVjfwXZA=w544-h544-l90-rj,https://music.youtube.com/watch?v=r7-A9NqUjRI,"['Bruno Mars', '24K Magic']"
Treasure,['Bruno Mars'],Unorthodox Jukebox,2012,2:59,https://lh3.googleusercontent.com/m0WX28nJGAiRC8PgPrT7LrC5vRTWlSlQmnelZb2VR0HWDS-e8GPO0MvhEPM0C-KTjTtnvZsOS1R8y1cg=w544-h544-l90-rj,https://music.youtube.com/watch?v=cy6Arnjp-hQ,"['Bruno Mars', 'Unorthodox Jukebox', 'Treasure']"
Marry You,['Bruno Mars'],Doo-Wops & Hooligans,2010,3:50,https://lh3.googleusercontent.com/-MBagZMcp-AsKziX22bIEvPjNlxPPyU8hgXC07dXlt9GmlBTA1hZI9yyAuCP0mswnSBNRMOvoI1y9_Y=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=nkz0M4TS7oA,"['Bruno Mars', 'Doo-Wops & Hooligans', 'Marry You']"
This Is America,['Childish Gambino'],This Is America,2018,3:46,https://lh3.googleusercontent.com/slWfYyBpsLjdamGoYRE3-QWqPf41WOzSxpScTZnXh6JH8gHRM4tKSWwtN7wSdKTXDS4DsxT5eWEDLSDm=w544-h544-l90-rj,https://music.youtube.com/watch?v=3P3w9Y50cxU,"['Childish Gambino', 'This Is America']"
HandClap,['Fitz and The Tantrums'],Fitz and The Tantrums,2016,3:13,https://lh3.googleusercontent.com/zGsXni_6-blYgTALTvKMz2Gn5ZBOMUxGgalkPC--qDHTGs1pCLcQZEx-p9cXCJ8-8sBrV82AFdzy4sY7qA=w544-h544-l90-rj,https://music.youtube.com/watch?v=tbyWV7ccaeY,"['Fitz and The Tantrums', 'HandClap']"
Lemon Tree,['Fools Garden'],Lemon Tree,1995,3:11,https://lh3.googleusercontent.com/JDP5rLWnK9kAap7aCqT9TGx01sectVg4tBCC4Ii5LAtI2MMYKV0mFOpJd3cd1YnvY78vV5lsNiFsw1s7=w544-h544-l90-rj,https://music.youtube.com/watch?v=enPg09IpUjU,"['Fools Garden', 'Lemon Tree']"
Don't Stop (Color on the Walls),['Foster The People'],Torches,2011,2:55,https://lh3.googleusercontent.com/qAL8HbZKkHBrEMKBCkSEJFNGeXH00XZiZKajhbYbbuv0HwVUX4VRFdRK9BFAT3ETOA5FTFXvnMfQeEQ=w544-h544-l90-rj,https://music.youtube.com/watch?v=VONvSk9qEu8,"['Foster The People', '擁抱人群樂團', 'Torches', ""Don't Stop (Color on the Walls)""]"
Runaway (U & I),['Galantis'],Pharmacy,2014,3:47,https://lh3.googleusercontent.com/3imxQo7tM8fkb99a7w6kNSiovA-6IFs_O4BmQeHShTzUDqsLz_VM2Z7A8zqJvHWVaG4V1-Jpn28UHdk=w544-h544-l90-rj,https://music.youtube.com/watch?v=h8rxsShxan4,"['Galantis', 'Pharmacy', 'Runaway (U & I)']"
No Money,['Galantis'],The Aviary,2016,3:11,https://lh3.googleusercontent.com/r7Zud63EbAR1-8zendC8cmffZsXgj3G6s0mtkVJOTnJFaA-dUaGAWECqGTRbiXlKdSwRifZJ1YmpBeix=w544-h544-l90-rj,https://music.youtube.com/watch?v=LsCHjlYw2oM,"['Galantis', 'The Aviary', 'No Money']"
21 Guns,['Green Day'],21st Century Breakdown,2009,5:21,https://lh3.googleusercontent.com/FnRYR-BT3RONNVBVF0Ws8IzCnzZYu7qbulZ3LL99NadPK8kEK_dvyldmJEGg_DZpJ0UsKoqwALI8SEz6=w544-h544-l90-rj,https://music.youtube.com/watch?v=U0XcqF7rqHk,"['Green Day', '21st Century Breakdown', '21 Guns']"
American Idiot,['Green Day'],American Idiot,2004,2:54,https://lh3.googleusercontent.com/UXFGtBhmxZd0cWbwgJCsaUvLH59uZe_T_9E1plQPi_zHBuPAHTuhzz_h8I-uIYaXJMKvVfRB7gcRJFI=w544-h544-l90-rj,https://music.youtube.com/watch?v=VyV54YwPAkk,"['Green Day', 'American Idiot']"
You Spin Me Round (Like a Record),['Dead Or Alive'],You Spin Me Round,1985,3:16,https://lh3.googleusercontent.com/CSKipyx53Y1tICowEuW60mY_UKmpHBhxf5B3Ccava84Mz5HsJ3sGCOMp4tjFGxngJxRRsU3nWM5j0xom=w544-h544-l90-rj,https://music.youtube.com/watch?v=BUYLdVeny5g,"['Dead Or Alive', 'デッドオアアライヴ', '不論死活合唱團', 'You Spin Me Round', 'You Spin Me Round (Like a Record)']"
Civilization Bongo Bongo Bongo,"['Andrews Sisters', 'Danny Kaye']",Civilization Bongo Bongo Bongo,2014,3:06,https://lh3.googleusercontent.com/W0d77hTNTUpgnQM6ArutwwFgfrUfiya57cB7sZvp4Qr5DOtiW5dUvf53mqQVqpI426Qfu11MMRuaHEZXRQ=w544-h544-l90-rj,https://music.youtube.com/watch?v=HtdKl0D_qeQ,"['Andrews', 'Sisters', 'Danny', 'Kaye', 'Civilization', 'Bongo']"
It's a Man (Alternate Take),['Betty Hutton'],Presenting Betty Hutton,1952,2:23,https://lh3.googleusercontent.com/P_Ftx7yu5GUa3i3hGkFGAf3X8_keOEzRqp7XgQ9_TNghpyEUfW7qPp71HiMvCH8SvWK08ap20Hj6terzzg=w544-h544-l90-rj,https://music.youtube.com/watch?v=hoD_71BNHFc,"['Betty Hutton', 'Presenting Betty Hutton', ""It's a Man (Alternate Take)""]"
"He's a Demon, He's a Devil, He's a Doll",['Betty Hutton'],Presenting Betty Hutton,1952,3:17,https://lh3.googleusercontent.com/P_Ftx7yu5GUa3i3hGkFGAf3X8_keOEzRqp7XgQ9_TNghpyEUfW7qPp71HiMvCH8SvWK08ap20Hj6terzzg=w544-h544-l90-rj,https://music.youtube.com/watch?v=AGL51cPJSR0,"[""Betty Hutton Presenting Betty Hutton He's a Demon"", ""He's a Devil"", ""He's a Doll""]"
Whole Lotta Shakin' Goin' On,['Big Maybelle'],Presenting Big Maybelle,1953,2:40,https://lh3.googleusercontent.com/KMw7azdwNpumzT-kihefPxH44BfvxRNHPLdSOSoT4lTjifUE22iZujztKp9hJy55yH1hNIOFy3e515U=w544-h544-l90-rj,https://music.youtube.com/watch?v=z2aHARbW_8I,"['Big Maybelle', 'Presenting Big Maybelle', ""Whole Lotta Shakin' Goin' On""]"
