Baba Yetu,"['Christopher Tin', 'Soweto Gospel Choir']",Calling All Dawns,2009,3:30,https://lh3.googleusercontent.com/q7toHjO0eXHpl3FPVhYOaeBs0uZLs_8t5rU43QprXxl-vxdyW-Yvxhq_YUSXhTkMqL0_yabMaX6OldcL=w544-h544-l90-rj,https://music.youtube.com/watch?v=d4iOF4yoNQw,"['Christopher Tin', 'Soweto Gospel Choir', 'ソウェトゴスペルクワイア', 'ソウェト・ゴスペル・クワイア', 'Calling All Dawns', 'Baba Yetu']"
Sogno di Volare (“The Dream of Flight”),['Christopher Tin'],Sogno di Volare (Civilization VI Main Theme),None,3:53,https://lh3.googleusercontent.com/wGJrj54T9616rOTveoIKomxpIaCjPzkny76FbLIgROKBW8P5xVFgp7kM3tAPUkQzoisTLFpdP9wnyMzrPQ=w544-h544-l90-rj,https://music.youtube.com/watch?v=1Mlx18RxxQ8,"['Christopher Tin', 'Sogno di Volare (Civilization VI Main Theme)', 'Sogno di Volare (“The Dream of Flight”)']"
Fallout 4 Main Theme,['Inon Zur'],Fallout 4 (Original Game Soundtrack),2015,3:02,https://lh3.googleusercontent.com/k-pHAfrVxBqVqsmjVqXwHEAayNuGTRRugP4t7IGZLIBudkm3EK4bHTiJ7yOTYyMY6GqeIG00jP6w1gc=w544-h544-l90-rj,https://music.youtube.com/watch?v=_yGpoRbwe4s,"['Inon Zur', 'Fallout 4 (Original Game Soundtrack)', 'Fallout 4 Main Theme']"
The Commonwealth,['Inon Zur'],Fallout 4 (Original Game Soundtrack),2015,4:11,https://lh3.googleusercontent.com/k-pHAfrVxBqVqsmjVqXwHEAayNuGTRRugP4t7IGZLIBudkm3EK4bHTiJ7yOTYyMY6GqeIG00jP6w1gc=w544-h544-l90-rj,https://music.youtube.com/watch?v=FLtN8PekdXI,"['Inon Zur', 'Fallout 4 (Original Game Soundtrack)', 'The Commonwealth']"
Red Alert 3 Theme - Soviet March,['James Hannigan'],Command & Conquer: Red Alert 3 (Original Soundtrack),2009,2:48,https://lh3.googleusercontent.com/kiZ2tz3V9a51npQwHmCMqv2IrfMTtAmpTiZvnvy0R1xSmaJJOWmYtQFwVRfz1kz-jPUZ6iQ8t4BnusWoWA=w544-h544-l90-rj,https://music.youtube.com/watch?v=l_rbFhbcbT8,"['James Hannigan', 'Command & Conquer: Red Alert 3 (Original Soundtrack)', 'Red Alert 3 Theme - Soviet March']"
I'm the One You're Looking For,"['John Jarvis, Kerry Marx & Lynda Carter']",Fallout 4 (Original Game Soundtrack),2015,3:25,https://lh3.googleusercontent.com/x0A-ICgml72WjnX7d_T2DCIu7FyOHeEVkfab7d_aqc9yS4RN-xw_JgMdz0PnGvjA__V7r-PchDyFOfrtKg=w544-h544-l90-rj,https://music.youtube.com/watch?v=9u0U-crLZxU,"['John Jarvis', ""Kerry Marx & Lynda Carter Fallout 4 (Original Game Soundtrack) I'm the One You're Looking For""]"
Baby It's Just You,"['John Jarvis, Kerry Marx & Lynda Carter']",Fallout 4 (Original Game Soundtrack),2015,2:33,https://lh3.googleusercontent.com/x0A-ICgml72WjnX7d_T2DCIu7FyOHeEVkfab7d_aqc9yS4RN-xw_JgMdz0PnGvjA__V7r-PchDyFOfrtKg=w544-h544-l90-rj,https://music.youtube.com/watch?v=tcwXyyPfk-o,"['John Jarvis', ""Kerry Marx & Lynda Carter Fallout 4 (Original Game Soundtrack) Baby It's Just You""]"
Good Neighbor,"['John Jarvis, Kerry Marx & Lynda Carter']",Fallout 4 (Original Game Soundtrack),2015,3:36,https://lh3.googleusercontent.com/x0A-ICgml72WjnX7d_T2DCIu7FyOHeEVkfab7d_aqc9yS4RN-xw_JgMdz0PnGvjA__V7r-PchDyFOfrtKg=w544-h544-l90-rj,https://music.youtube.com/watch?v=YUfm6kAqULM,"['John Jarvis', 'Kerry Marx & Lynda Carter Fallout 4 (Original Game Soundtrack) Good Neighbor']"
Man Enough,"['John Jarvis, Kerry Marx & Lynda Carter']",Fallout 4 (Original Game Soundtrack),2015,3:23,https://lh3.googleusercontent.com/x0A-ICgml72WjnX7d_T2DCIu7FyOHeEVkfab7d_aqc9yS4RN-xw_JgMdz0PnGvjA__V7r-PchDyFOfrtKg=w544-h544-l90-rj,https://music.youtube.com/watch?v=qkxI1s5zLPk,"['John Jarvis', 'Kerry Marx & Lynda Carter Fallout 4 (Original Game Soundtrack) Man Enough']"
Train Train,"['John Jarvis, Kerry Marx & Lynda Carter']",Fallout 4 (Original Game Soundtrack),2015,2:15,https://lh3.googleusercontent.com/x0A-ICgml72WjnX7d_T2DCIu7FyOHeEVkfab7d_aqc9yS4RN-xw_JgMdz0PnGvjA__V7r-PchDyFOfrtKg=w544-h544-l90-rj,https://music.youtube.com/watch?v=hlbklJscQcI,"['John Jarvis', 'Kerry Marx & Lynda Carter Fallout 4 (Original Game Soundtrack) Train Train']"
Count to Three (feat. The Stupendium & Ellen McLain),"['The Chalkeaters', 'The Stupendium', 'Ellen McLain']",Count to Three (feat. The Stupendium & Ellen McLain),None,2:59,https://lh3.googleusercontent.com/C0U4NOSEBdWuGI_M2Leb2hixk8Daj7nM3Gl826s7ppPaJeDFKqp09rSsHkCSw2We0jd2iKYX0vjbAev0cg=w544-h544-l90-rj,https://music.youtube.com/watch?v=70ocdx2SioY,"['The Chalkeaters', 'The Stupendium', 'Ellen McLain', 'Count to Three (feat. The Stupendium & Ellen McLain)']"
