Double Vision,['3OH!3'],Streets Of Gold,2010,3:11,https://lh3.googleusercontent.com/VjgYg4wRsFZjewEX9vuAGOTvWJllBJ29ggTcJnN5gJPc0LfeVmHXHU1uv4Kt3u0fDfmkk3e_vKYxMzk=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=AulAGgkd1no,"['3OH!3', 'Streets Of Gold', 'Double Vision']"
Future Cider,"[""YUC'e""]",EDP presents ravemania speed,None,4:04,https://lh3.googleusercontent.com/Bae22uHBnZ4CDSakA0g2QwLuaI0OaK5gECis1jAyeaCcT3QGaJ-11KUUphBPyQuVICN82IPfwOIqew2o=w544-h544-l90-rj,https://music.youtube.com/watch?v=tZH8sBDS_hE,"[""YUC'e"", 'ユーシエ', 'EDP presents ravemania speed', 'Future Cider']"
1HOPE SNIPER,['田所あずさ'],So What?,None,3:32,https://lh3.googleusercontent.com/fFjNmOyk1sAZC7U925k_oYdlH83OV4si6d3hC83IF81V-CtGK8BZQf8-_LdQCS30dHlJXxlxxlqbpKXV=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=K04zLud0ZnY,"['田所あずさ', 'So What?', '1HOPE SNIPER']"
Tsukiyura (feat. Narae),['초록물꼬기 (mitssi)'],Tsukiyura,None,2:56,https://lh3.googleusercontent.com/zzLoeCLVgPaejnsfv7x7z_81sNihUu25AcUCgWiRFTub1RurTrR2hr_OWjsGqRkG75jD1K1eIgUP9h9i=w544-h544-l90-rj,https://music.youtube.com/watch?v=0px68SAm9yo,"['초록물꼬기 (mitssi)', 'Tsukiyura', 'Tsukiyura (feat. Narae)']"
Zankyosanka,['Aimer'],Open a Door,2021,3:05,https://lh3.googleusercontent.com/WJsfqIlLhWYLspnYKvF2FXAxHb8j8bEwt7J9tM4Mi_gRikmiupb9T5XcXSwUr59FhxX7ZsYQ-PGFAw3T=w544-h544-l90-rj,https://music.youtube.com/watch?v=d6NPs3OQIAU,"['Aimer', 'エメ', 'Open a Door', 'Zankyosanka']"
Kataomoi,['Aimer'],daydream,2016,3:27,https://lh3.googleusercontent.com/NJD-silBhAi2s03Dxbh-VU4djoa4Zay7wm051hWYXtjs31cI0U8eW2nIT7EhprOpk627mhbzRrapLKx7KQ=w544-h544-l90-rj,https://music.youtube.com/watch?v=NFHPLE4Tl0I,"['Aimer', 'エメ', 'daydream', 'Kataomoi']"
Last Stardust,['Aimer'],DAWN,2015,5:19,https://lh3.googleusercontent.com/KgxPQ1MlUlgV9ETcka1Hh_cQH3orxCJpVNiOi_EI-IHGcBviZXCNsMCBx3x-sX1LK3uOv72WKcDY1vjQ9g=w544-h544-l90-rj,https://music.youtube.com/watch?v=ngm99aJh7ig,"['Aimer', 'エメ', 'DAWN', 'Last Stardust']"
Yona Yona Dance,['Akiko Wada'],Yona Yona Dance,2021,3:46,https://lh3.googleusercontent.com/ys7evTIkqJG8tr-AuGPWc-T-hhpfiOUPhUCEUyIKDs5ySMaTS0PwXZjfVCjWVisd5uWLQ3_KfJYhil6l=w544-h544-l90-rj,https://music.youtube.com/watch?v=vYoc8PtSRNk,"['Akiko Wada', 'ワダアキコ', '和田アキ子', 'Yona Yona Dance']"
KANPAI FUNK,['Akiko Wada'],KANPAI FUNK,2023,3:40,https://lh3.googleusercontent.com/jhrPfzryfJ29trIc7m899fM1sMTiJk5Qvqq8koRKg3yuRFe4-LXKB0UGgeVFIZCDWoLGzegKWZ2evq5h=w544-h544-l90-rj,https://music.youtube.com/watch?v=Hz4yHa6B3HU,"['Akiko Wada', 'ワダアキコ', '和田アキ子', 'KANPAI FUNK', 'カンパイファンク']"
Polska (feat. Frequ & Ninka),"['Alan Aztec', 'Frequ', 'Ninka']",Polska (feat. Frequ & Ninka),None,2:41,https://lh3.googleusercontent.com/Jg49a8ZJvFLxVK2CRLqWDXDxLAqQcTYz3WzSU2O5815VUR-LwDAW9pdgxLnXaq46YT-Vfq5FOQLKdlw=w544-h544-l90-rj,https://music.youtube.com/watch?v=DGURcH8Ep54,"['Alan Aztec', 'Frequ', 'Ninka', 'Polska (feat. Frequ & Ninka)']"
Miku,"['Anamanaguchi', 'Hatsune Miku']",Miku,None,3:43,https://lh3.googleusercontent.com/uEOk2pCVOFnFGjzrsNavzKYoZEvz46KInWBpElYu1d_UHqH78cRqqCV3myVFmIl4SZytMGkGn1FLkgYz8w=w544-h544-l90-rj,https://music.youtube.com/watch?v=G2PDJTkFiA8,"['Anamanaguchi', 'Hatsune Miku', 'Miku']"
Civilization Bongo Bongo Bongo,"['Andrews Sisters', 'Danny Kaye']",Civilization Bongo Bongo Bongo,2014,3:06,https://lh3.googleusercontent.com/W0d77hTNTUpgnQM6ArutwwFgfrUfiya57cB7sZvp4Qr5DOtiW5dUvf53mqQVqpI426Qfu11MMRuaHEZXRQ=w544-h544-l90-rj,https://music.youtube.com/watch?v=HtdKl0D_qeQ,"['Andrews', 'Sisters', 'Danny', 'Kaye', 'Civilization', 'Bongo']"
Wake Me Up,['Avicii'],True,2013,4:07,https://lh3.googleusercontent.com/XincHWEjkXhpbavoQEHWRbTcVdvHsujjr7OAw-73KUCILFgjLdevPW8vkoaRMibnwkTtGWkEDyKbuNeK=w544-h544-l90-rj,https://music.youtube.com/watch?v=2NiyrtYegso,"['Avicii', 'アビーチー', 'アヴィーチー', 'True', 'Wake Me Up']"
Waiting For Love,['Avicii'],Stories,2015,3:51,https://lh3.googleusercontent.com/gNvQI_me1i5v3oXEaJCPYpjhYj5yQSObQNnKsBYTZhWqax62D6AslMc1z7Euvl2r6wnvuqWeLzFGUv5R=w544-h544-l90-rj,https://music.youtube.com/watch?v=iR1sAex__VA,"['Avicii', 'アビーチー', 'アヴィーチー', 'Stories', 'Waiting For Love']"
The Nights,['Avicii'],The Days / Nights,2014,2:57,https://lh3.googleusercontent.com/bPQAXtxg9kp3_2RPlgtnezp5opZgYFUGQNTnZLEd_131df6T3Nht7Jo3Tx44WwseRUYPe8OeApHM88S50A=w544-h544-l90-rj,https://music.youtube.com/watch?v=W4C-NEWrnSQ,"['Avicii', 'アビーチー', 'アヴィーチー', 'The Days / Nights', 'ザ・デイズ', '（ヘンリック・ビー', 'リミックス）', 'ザ・デイズ (ヘンリック・ビー リミックス)', 'The Nights', 'ザナイツ', 'ザ・ナイツ']"
Levels (Radio Edit),['Avicii'],Levels,2011,3:20,https://lh3.googleusercontent.com/bsPieoSMF402F_05hHOq7FITGDPllsNcBnjPE0WUi6T2a4A130z6qqjJLCEV10kE1pCSGBxKt0Bdgfkc=w544-h544-l90-rj,https://music.youtube.com/watch?v=xAgv1mAyxr8,"['Avicii', 'アビーチー', 'アヴィーチー', 'Levels', 'レベルズ', 'レヴェルズ']"
Addicted To You,['Avicii'],True,2013,2:28,https://lh3.googleusercontent.com/XincHWEjkXhpbavoQEHWRbTcVdvHsujjr7OAw-73KUCILFgjLdevPW8vkoaRMibnwkTtGWkEDyKbuNeK=w544-h544-l90-rj,https://music.youtube.com/watch?v=nYuVZPV4vTw,"['Avicii', 'アビーチー', 'アヴィーチー', 'True', 'Addicted To You']"
It's a Man (Alternate Take),['Betty Hutton'],Presenting Betty Hutton,1952,2:23,https://lh3.googleusercontent.com/P_Ftx7yu5GUa3i3hGkFGAf3X8_keOEzRqp7XgQ9_TNghpyEUfW7qPp71HiMvCH8SvWK08ap20Hj6terzzg=w544-h544-l90-rj,https://music.youtube.com/watch?v=hoD_71BNHFc,"['Betty Hutton', 'Presenting Betty Hutton', ""It's a Man (Alternate Take)""]"
"He's a Demon, He's a Devil, He's a Doll",['Betty Hutton'],Presenting Betty Hutton,1952,3:17,https://lh3.googleusercontent.com/P_Ftx7yu5GUa3i3hGkFGAf3X8_keOEzRqp7XgQ9_TNghpyEUfW7qPp71HiMvCH8SvWK08ap20Hj6terzzg=w544-h544-l90-rj,https://music.youtube.com/watch?v=AGL51cPJSR0,"[""Betty Hutton Presenting Betty Hutton He's a Demon"", ""He's a Devil"", ""He's a Doll""]"
Whole Lotta Shakin' Goin' On,['Big Maybelle'],Presenting Big Maybelle,1953,2:40,https://lh3.googleusercontent.com/KMw7azdwNpumzT-kihefPxH44BfvxRNHPLdSOSoT4lTjifUE22iZujztKp9hJy55yH1hNIOFy3e515U=w544-h544-l90-rj,https://music.youtube.com/watch?v=z2aHARbW_8I,"['Big Maybelle', 'Presenting Big Maybelle', ""Whole Lotta Shakin' Goin' On""]"
Pistol Packin' Mama,"['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']",Bing-His Legendary Years 1931-1957,1943,3:03,https://lh3.googleusercontent.com/GsmKInXnBbKp4obXRGvuiWA6X_WOTEXJMaL90WXcJkFzfaF4c_x4OtqXW-UVOktKUP_bBw07Z1pTKdI=w544-h544-l90-rj,https://music.youtube.com/watch?v=9G2T0ad1-h4,"['Bing Crosby', 'ビングクロスビー', 'ビング・クロスビー', 'The Andrews Sisters', 'アンドリユーシスターズ', 'アンドリュー・シスターズ', 'Vic Schoen & His Orchestra', 'ＶｉｃＳｃｈｏｅｎ＆ＨｉｓＯｒｃｈｅｓｔｒａ', 'Bing-His Legendary Years 1931-1957', ""Pistol Packin' Mama""]"
Way Back Home,['Bob Crosby'],Presenting The Bob Crosby Show,1953,2:55,https://lh3.googleusercontent.com/OI9zt4y6ztv1Q87RSTSctZi58YWZK01SURpzt2o1JRrOqeBWhwWwNa3i3Lsp7tKWsZhQquVJvPeZZx8=w544-h544-l90-rj,https://music.youtube.com/watch?v=8wDCnmpIbFM,"['Bob Crosby', 'Presenting The Bob Crosby Show', 'Way Back Home']"
Dear Hearts and Gentle People,['Bob Crosby'],Presenting The Bob Crosby Show,1953,2:13,https://lh3.googleusercontent.com/OI9zt4y6ztv1Q87RSTSctZi58YWZK01SURpzt2o1JRrOqeBWhwWwNa3i3Lsp7tKWsZhQquVJvPeZZx8=w544-h544-l90-rj,https://music.youtube.com/watch?v=nJzFH-emqy8,"['Bob Crosby', 'Presenting The Bob Crosby Show', 'Dear Hearts and Gentle People']"
Happy Times,['Bob Crosby'],Presenting The Bob Crosby Show,1953,2:46,https://lh3.googleusercontent.com/OI9zt4y6ztv1Q87RSTSctZi58YWZK01SURpzt2o1JRrOqeBWhwWwNa3i3Lsp7tKWsZhQquVJvPeZZx8=w544-h544-l90-rj,https://music.youtube.com/watch?v=xwQPsihhngM,"['Bob Crosby', 'Presenting The Bob Crosby Show', 'Happy Times']"
Rasputin,['Boney M.'],Nightflight to Venus,1978,5:52,https://lh3.googleusercontent.com/QYCKdYb-q1OmjBjH3w-HhtA9--j8JtkIUfrE3G4-5tBmQKFr0gEgMaeiCkJ5Xh19IAX1fThIYhiFHPQ=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=5Z0dxsFmX7c,"['Boney M.', 'ボニーエム', 'Nightflight to Venus', 'Rasputin']"
Rasputin,"['Majestic', 'Boney M.']",Rasputin,2021,3:06,https://lh3.googleusercontent.com/GbeV4z1OUJFze7oVjT536IZTUHCZN-jwwb9W_N9Gkw2Ndji0jt_WZr4kX8RjbaQwByjmeLNUHLy9lFXY=w544-h544-l90-rj,https://music.youtube.com/watch?v=Y2_hKPShcpY,"['Majestic', 'マジェスティック', 'Boney M.', 'ボニーエム', 'Rasputin']"
Uptown Funk,"['Mark Ronson', 'Bruno Mars']",I Love Paraisópolis - Vol. 2,2015,4:30,https://lh3.googleusercontent.com/hwAIuAKLrWXNkiMNG87xNvb9BM6GgVp9ZfYGFyXw62oboeLp01yP4Ah3I4soh8ZGwcdtLHjic9jlHGZG=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=rZmHYMQkLyA,"['Mark Ronson', 'Bruno Mars', 'I Love Paraisópolis - Vol. 2', 'Uptown Funk']"
The Lazy Song,['Bruno Mars'],Doo-Wops & Hooligans,2010,3:09,https://lh3.googleusercontent.com/-MBagZMcp-AsKziX22bIEvPjNlxPPyU8hgXC07dXlt9GmlBTA1hZI9yyAuCP0mswnSBNRMOvoI1y9_Y=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=sLRtf41L12A,"['Bruno Mars', 'Doo-Wops & Hooligans', 'The Lazy Song']"
That's What I Like,['Bruno Mars'],24K Magic,2016,3:27,https://lh3.googleusercontent.com/L0TeCOIXRykdcItgMBf2qrO72RDFn59k3wLd3OFlXO3y4dfrSeR-jD1NCPKiJsRN7gaf4ot_dWSVjfwXZA=w544-h544-l90-rj,https://music.youtube.com/watch?v=JucvYrdSIcM,"['Bruno Mars', 'ブルーノマーズ', '24K Magic', ""That's What I Like""]"
Just the Way You Are,['Bruno Mars'],Doo-Wops & Hooligans,2010,3:41,https://lh3.googleusercontent.com/-MBagZMcp-AsKziX22bIEvPjNlxPPyU8hgXC07dXlt9GmlBTA1hZI9yyAuCP0mswnSBNRMOvoI1y9_Y=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=wGUKBXpfU1o,"['Bruno Mars', 'Doo-Wops & Hooligans', 'Just the Way You Are']"
